collision_events_mean,collision_free_success_mean,command_acc_rms_mps2_mean,command_active_fraction_mean,command_jerk_p95_mps3_mean,experiment,maze_type,min_clearance_m_mean,n,path_efficiency_mean,role,scenario,timeout_penalized_s_mean,turn_response_penalized_s_mean
0.0,0.6,3.3014992856329854,1.0,18.278648577741052,corridor,1,0.4976573020219803,10,0.6457407926614078,baseline,straight,11.8015,0.725795
0.0,0.6,3.097159889971155,1.0,15.235489546106603,corridor,2,0.6640576794743538,10,0.6967380635785922,baseline,straight,11.31249,2.0580499999999997
0.0,0.2,3.314102024566816,1.0,18.52162954168538,corridor,5,0.3976808421313763,10,0.46201325939290144,baseline,straight,16.88505,4.624784
0.0,0.7,3.040507798182585,1.0,15.892844477408863,corridor,7,0.7611417740583419,10,0.6290100684887416,baseline,straight,11.71354,1.2939440000000002
0.0,0.525,3.1883172495883856,1.0,16.98215303573547,corridor,all,0.5801343994215131,40,0.6083755460304108,baseline,straight,12.928145,2.1756432500000003
0.0,0.7,3.609731110006179,1.0,18.043944138858844,corridor,1,0.5339262753725051,10,0.3932179615569872,baseline,dynamic,12.05846772550028,5.675358347000978
0.0,0.8,3.3411901510521096,1.0,14.386872652408462,corridor,2,1.2410492420196533,10,0.637268757497256,baseline,dynamic,7.387734013500245,5.776770433599573
0.0,0.3,3.553184387466885,1.0,18.3598867263698,corridor,5,0.6963856875896454,10,0.34406278237318655,baseline,dynamic,14.613869894400034,4.808279211299711
0.0,0.4,3.188830688180685,1.0,15.303517226897497,corridor,7,0.6506974428892136,10,0.36485567982808786,baseline,dynamic,14.192595101498734,5.913536744998174
0.0,0.55,3.423234084176464,1.0,16.52355518613365,corridor,all,0.7805146619677543,40,0.4348512953138794,baseline,dynamic,12.063166683724825,5.543486184224609
0.0,0.65,3.455615197819582,1.0,18.161296358299946,corridor,1,0.5157917886972427,20,0.5194793771091974,baseline,all,11.92998386275014,3.200576673500489
0.0,0.7,3.2191750205116323,1.0,14.811181099257533,corridor,2,0.9525534607470035,20,0.6670034105379241,baseline,all,9.350112006750123,3.917410216799786
0.0,0.25,3.4336432060168507,1.0,18.440758134027583,corridor,5,0.5470332648605108,20,0.403038020883044,baseline,all,15.749459947200018,4.716531605649855
0.0,0.55,3.114669243181635,1.0,15.598180852153178,corridor,7,0.7059196084737778,20,0.4969328741584147,baseline,all,12.953067550749367,3.6037403724990873
0.0,0.5375,3.3057756668824254,1.0,16.75285411093456,corridor,all,0.6803245306946337,80,0.5216134206721451,baseline,all,12.495655841862412,3.859564717112305
0.0,0.6,3.305322452848307,0.9966177686899982,17.854688510994063,corridor,1,0.5012122958898544,10,0.6313931068171974,variant,straight,12.24954,0.7227060000000001
0.0,0.6,3.0976585864073845,1.0,15.179996460411397,corridor,2,0.6659491494297981,10,0.6970399750940282,variant,straight,11.3124,3.946338
0.0,0.2,3.2913226826819346,0.9977977977977976,17.766623507923686,corridor,5,0.4285823754966259,10,0.4615403372747676,variant,straight,16.882749999999998,2.752145
0.0,0.8,2.9604224422983774,0.9670980824555462,15.600596372175664,corridor,7,0.8744463443756103,10,0.6577223547394906,variant,straight,10.88231,1.2940239999999998
0.0,0.55,3.1636815410590007,0.9903784122358357,16.600476212876202,corridor,all,0.6175475412979722,40,0.6119239434813709,variant,straight,12.83175,2.17880325
0.0,0.6,3.709965093224196,0.9883428571428571,17.669277870516634,corridor,1,0.5314892023801804,10,0.4108301678161472,variant,dynamic,12.152042897701111,4.434785302401187
0.0,0.8,3.3964179797161775,1.0,14.381933080895596,corridor,2,1.251264178752899,10,0.650883095862206,variant,dynamic,7.223614013500248,5.757634433599573
0.0,0.2,3.556433833684033,1.0,18.93559618570286,corridor,5,0.6229580163955688,10,0.3008800482111335,variant,dynamic,15.90311315390004,3.3393432112997106
0.0,0.2,3.197399792253507,0.8938285714285714,15.426315431451346,corridor,7,0.715733352303505,10,0.37419641043997137,variant,dynamic,15.54795701599846,7.512135744998174
0.0,0.45,3.465054174719478,0.9705428571428572,16.60328064214161,corridor,all,0.7803611874580383,40,0.4341974305823645,variant,dynamic,12.706681770274965,5.260974673074661
0.0,0.6,3.5076437730362513,0.9924803129164277,17.76198319075535,corridor,1,0.5163507491350174,20,0.5211116373166723,variant,all,12.200791448850556,2.578745651200594
0.0,0.7,3.247038283061781,1.0,14.780964770653494,corridor,2,0.9586066640913486,20,0.6739615354781171,variant,all,9.268007006750123,4.851986216799786
0.0,0.2,3.4238782581829836,0.9988988988988989,18.351109846813273,corridor,5,0.5257701959460974,20,0.3812101927429506,variant,all,16.39293157695002,3.045744105649855
0.0,0.5,3.0789111172759425,0.930463326942059,15.51345590181351,corridor,7,0.7950898483395576,20,0.515959382589731,variant,all,13.21513350799923,4.403079872499087
