collision_episode_rate,collision_free_success_rate,command_acc_rms_mean_mps2,command_active_fraction_mean,command_jerk_p95_mean_mps3,experiment,maze_type,min_clearance_mean_m,n,path_efficiency_mean,role,scenario,timeout_penalized_time_mean_s,turn_response_penalized_mean_s
0.0,0.5,3.315886385694493,0.9743417788356787,16.76839419277207,corridor_calibrated,all,0.6859475726261735,80,0.5258948721819655,baseline,all,12.797741242950037,3.450237279312593
0.0,0.5,3.324148755918569,0.5409049900080447,17.887455426630606,corridor_calibrated,1,0.48511127233505247,10,0.9038983604078494,variant,straight,12.78325,8.352959
0.0,0.3,2.926680948978609,0.5660874613306246,14.7285734756419,corridor_calibrated,2,0.6880465880036354,10,0.7712576734765665,variant,straight,15.83861,5.053872
0.0,0.2,3.3774608078132426,0.7793785769737672,18.399713463430775,corridor_calibrated,5,0.3849764332175255,10,0.5967926738661415,variant,straight,16.901519999999998,4.638223999999999
0.0,0.8,2.958901019301245,0.7751421357204228,14.08070071286382,corridor_calibrated,7,1.0939858913421632,10,0.7803009193104751,variant,straight,10.77466,4.778573
0.0,0.45,3.134974491475206,0.6653782910082149,16.166554459175856,corridor_calibrated,all,0.6630300462245942,40,0.7630624067652582,variant,straight,14.074509999999998,5.705907000000001
0.0,0.2,3.482660923307561,0.6148887300714678,18.15925924141778,corridor_calibrated,1,0.5781489700078964,10,0.5274874079696524,variant,dynamic,15.705431783299932,8.439145783299931
0.0,1.0,3.393963236156213,0.9940758737784673,14.889576284817602,corridor_calibrated,2,1.0524913251399994,10,0.6350588030951699,variant,dynamic,6.991280000000001,3.3500720892002542
0.0,0.2,3.5433176840276994,0.9798857142857142,19.242017993670583,corridor_calibrated,5,0.5525312922894955,10,0.32737458186429547,variant,dynamic,15.921668473300304,1.5886592987006254
0.0,0.2,3.2027542311055,0.7950857142857142,16.001908420117058,corridor_calibrated,7,0.7474668920040131,10,0.419999635904625,variant,dynamic,15.53577034199996,4.490595383899941
0.0,0.4,3.401622076298806,0.8459840081053411,17.016028971510387,corridor_calibrated,all,0.7326596198603511,40,0.4774801072084357,variant,dynamic,13.53853764965005,4.467118138775188
0.0,0.35,3.414727137283708,0.5778968600397564,18.042771892223275,corridor_calibrated,1,0.5316301211714745,20,0.715692884188751,variant,all,14.244340891649966,8.396052391649965
0.0,0.65,3.1862822196328335,0.7800816675545461,14.818019480739512,corridor_calibrated,2,0.8702689565718174,20,0.7031582382858682,variant,all,11.414945,4.201972044600127
0.0,0.2,3.469603516821274,0.8796321456297406,18.867660424675112,corridor_calibrated,5,0.4687538627535105,20,0.46208362786521845,variant,all,16.411594236650153,3.1134416493503125
0.0,0.5,3.0943750258591645,0.7851139250030685,15.148038328004507,corridor_calibrated,7,0.9207263916730881,20,0.60015027760755,variant,all,13.15521517099998,4.634584191949971
0.0,0.425,3.2839834359354527,0.7556811495567779,16.641260804303972,corridor_calibrated,all,0.6978448330424726,80,0.6202712569868469,variant,all,13.806523824825025,5.086512569387594
